A,B,C
DR. KARAM VEER SINGH - AGRA,,
DR. KAPIL DEV DAS - SIURI,,
DR. KANNAN - CHIDAMBARAM,,
DR. KANIKA KAPOOR - NOIDA,,
DR. KAMAL LAHOTI - HYDERABAD,,
DR. KAMAL BANSAL - DELHI,,
DR. KALPESH RANGPARIYA - RAJKOT,,
DR. KALPANA SARANGI - MUMBAI,,
DR. KALPANA PATHAK - GHAZIABAD,,
DR. KALEEM KHAN - MUMBAI,,
DR. KAILASH MAHARANIA - JHUNJHUNU,,
DR. K.V.CHARY - HYDERABAD,,
DR. K.T.THOWFEQ - COIMBATORE,,
DR. K.SUBRAMANI - CHENNAI,,
DR. K.SRINIUBABU - VISAKHAPATNAM,,
DR. K.P. EDISON - ERNAKULAM,,
DR. K.MUHAMMED - KOZHIKODE,,
DR. K.MANOHARAN - CHENNAI,,
DR. K.LAKSHMI - HYDERABAD,,
DR. K.G SINGH - ALLAHABAD,,
DR. K.DEEPA - CHENNAI,,
DR. K.C. NISCHAL - BANGALORE,,
DR. K. VIJAYA REDDY - HYDERABAD,,
DR. K. SUHASINI - HYDERABAD,,
DR. K. SUBASHINI - ERODE,,
DR. K. SRINIVASA MURTHY - BANGALORE,,
DR. K. RAMANJANEYULU - HYDERABAD,,
DR. K VIJAYA KUMARA RAJU - ONGOLE,,
DR. K S SRIDEVI - ERODE,,
DR. K MAHADEVAN - COIMBATORE,,
DR. JYOTI SOOD - JALANDHAR,,
DR. JYOTI MALIK - GURGAON,,
DR. JOE ANGELOU.S - CHENNAI,,
DR. JITESH BHATT - AHMEDABAD,,
DR. JITENDRA MATSAVAR - AURANGABAD,,
DR. JENNY MATHEW  - CALICUT,,
DR. JAYESH SANARIYA - RAJKOT,,
DR. JATIN PATEL - RAJKOT ,,
DR. JANAK THAKKAR - RAJKOT,,
DR. JAGDISH RAI - DELHI,,
DR. JAGANNATHAN - CHENNAI,,
DR. J.RAKEE PURNIMA - HYDERABAD,,
DR. J.LATHA - TRICHY,,
DR. J SUMITHA - CHENNAI,,
DR. IRSHAD ALI - SKIN CARE CENTRE - PERINTHALMANNA,,
DR. INDHUMATHI  - THENKASI,,
DR. IMTIYAZ - BANGALORE,,
DR. I.V SHINDE - AURANGABAD,,
DR. I.CHANDRASEKHAR REDDY - HYDERABAD,,
DR. HRISHIKESH BELSARE   - NAGPUR,,
DR. HITAL PATEL - AHMEDBAD,,
DR. HETAL PATHAK - MUMBAI,,
DR. HAZELYN PEREIR - MUMBAI,,
DR. HARSHANA BIJLANI - MUMBAI,,
DR. HARSH SHARMA - MATHURA,,
DR. HARMANDEEP KAUR SIDHU - CHANDIGARH,,
"DR. HARISH KUSHWAHA - MUZAFFARNAGAR	",,
DR. HARISH KUMAR  - HYDERABAD,,
DR. HARINI NAVIN - CHENNAI,,
DR. HARINATH - HYDERABAD,,
DR. GUNVANT MAYAWANSHI - AHMEDABAD,,
DR. GULHIMA ARORA - DELHI,,
DR. GOUR GOPAL GHOSH - CHINSURAH,,
DR. GILLIAN ROGA - CHIKMAGALUR,,
DR. GEETIKA MITTAL - DELHI,,
DR. GEETA PATEL - AHMEDABAD,,
DR. GEETA GERA - GHAZIABAD,,
DR. GAYATHRI DEVI - CHENNAI,,
DR. GAURAV SOMANI - PUNE,,
DR. GAURAV MUKHIJA - GORAKHPUR,,
DR. GAURAV GUPTA - CENTRAL DELHI,,
DR. GANESH PAI - MANGALORE,,
DR. GANESH DHAWALSHANK  - KOLHAPUR,,
DR. G.S.S.SANDEEP - HYDERABAD,,
DR. G.S. DHANIK - KANPUR,,
DR. G.RANGWALA - MUMBAI,,
DR. G.M.KAMOJI - GOKAKA,,
DR. G.K.SHAH - MUMBAI,,
DR. G.HARILITHA - HYDERABAD,,
DR. G.ANUP KUMAR - HYDERABAD,,
DR. G. SENTHILKUMAR - TIRUCHENCODE,,
DR. G. PRASANTHI - CHENNAI,,
DR. G. LAVANYA - COIMBATORE,,
DR. G. JYOTSNA  - HYDERABAD,,
DR. G SATYA KUMARI - TANUKU,,
DR. FATHIMA ASHARAF  - TRICHUR,,
DR. FALGUNI SHAH - MUMBAI,,
DR. ELSY JAKULINE - CHENNAI,,
DR. E.P.RAJ KIRIT - HYDERABAD,,
DR. DURGA PRASAD ANNABATHULA - HYDERABAD,,
DR. DM MAHAJAN - NEW DELHI,,
DR. DIVYA SHREE - BANGALORE,,
DR. DISHA JAGGI - LUCKNOW,,
DR. DIPAK KULKARNI - MUMBAI,,
DR. DINKAR SADANA - PATIALA,,
DR. PADMAVATHI - HYDERABAD,,
DR. PADMANATHAN - TRICHY,,
DR. P.S. BHATIA - KANPUR,,
DR. P.S. ANEJA - JALANDHAR,,
DR. P.RAJ KUMAR - HYDERABAD,,
DR. P.N.ROHITH KUMAR - KUMBAKONAM,,
DR. P.K.BHOPALKA - ISLAMPUR,,
DR. P. PHANISREE  - HYDERABAD,,
DR. P. NARSIMHA RAO - HYDERABAD,,
DR. P SIRISHA PRAVARDHINI - HYDERABAD,,
DR. P K SINHA - BILASPUR,,
DR. NUTAKKI NAGAMANI - HYDERABAD,,
DR. NITIN TIWARI - LUCKNOW,,
DR. NITIN PANDYA - BHOPAL,,
DR. NITIN MISHRA - MUMBAI,,
DR. NITIN DHEPE - SOLAPUR,,
DR. NITIN CHHATRALIYA - AHMEDABAD,,
DR. NITIN B MESTRI - GOKAK,,
DR. NITI GAUR - GURGAON,,
DR. NITHYA RAGHUNATH - BANGALORE,,
DR. NISHANT NIGAM - ALLAHABAD,,
DR. NISHANT GHODAKE - NASIK,,
DR. NIRUPMA PUSHKARNA - NOIDA,,
DR. NIRMALA PUROHIT - HYDERABAD,,
DR. NIRMAL JIGNASU - SURAT,,
DR. NIPUN JAIN - CENTRAL DELHI,,
DR. NIKITA PATEL - MUMBAI,,
DR. NIKHIL SINGH - BIJNOR,,
DR. NIKHIL KAJALE - NASIK,,
DR. NIKHIL B  - HYDERABAD,,
DR. NIDHISH GUPTA - INDORE,,
DR. NIDHI PALIWAL - NOIDA,,
DR. NIDHI GUPTA  - PANCHKULA,,
DR. NEHAL SHAH - AHMEDABAD,,
DR. NEHA YADAV - DELHI,,
DR. NEHA VIRWANI - MUMBAI,,
DR. NEHA VIRWANI  - MUMBAI,,
DR. NEHA SORI - RAIPUR,,
DR. NEHA SINGH - CHANDIGARH,,
DR. NEHA SHUKLA - GANDHINAGAR,,
DR. NEHA RAO  - CALICUT,,
DR. NEHA KHARE  - NASHIK,,
DR. NEHA GUPTA - JABALPUR,,
DR. NEETI THAKUR - DEHRADUN,,
DR. NEETHA THOMAS - ERNAKULAM,,
DR. NEETA RAJANI - MUMBAI,,
DR. NEETA LADDHA - AMRAVATI,,
DR. NEERAJ SINGHAL - MUZAFFARNAGAR,,
DR. NEERAJ PANDEY - LUCKNOW,,
DR. NAZEEB - CHENNAI,,
DR. NASEEMA RASHID  - MALAPPURAM,,
DR. NARMADA DEVI - BANGALORE,,
DR. NARENDRA GOKHALE - INDORE,,
DR. NARENDRA AGRAWAL - DURG,,
DR. NARASIMHA SHARMA - MANGALORE,,
DR. NANUSON - HYDERABAD,,
DR. NAIYA BANSAL - CHANDIGARH,,
DR. NAGESH KAKODE - GOA,,
DR. NAGARAJU T.S. - BANGALORE,,
DR. NABHA SRINIVAS SHREYAS - MYSORE,,
DR. N.MURALI - CHENNAI,,
DR. N.L. SIRISHA - KADAPA,,
DR. N G CHAIL - KOLKATA,,
DR. MURALIDHAR RAJAGOPALAN - CHENNAI,,
DR. MUKTA SACHDEV - BANGALORE,,
DR. MRADULA - BANGALORE,,
DR. MONALI PATTNAIK - BHUBANESWAR,,
DR. MONA SOGANI - SURAT,,
DR. MOHIT MAHESHWARIR - JABALPUR,,
DR. MOHD ABID ALI - GULBARGA,,
DR. MOHAMED SALAHUDEEN - CUDDALORE,,
DR. MITESH P THAKKAR - AHMEDABAD,,
DR. MILIND DOSHI - MUMBAI,,
DR. MILIND DESHMUKH - NASIK,,
DR. MEGHNA GUPTA - DELHI,,
DR. MEERA JAMES  - ERNAKULAM,,
DR. MEENU GANDHI - KARNAL,,
DR. MEENAKSHI TANDON - BHOPAL,,
DR. MAYANK SINGH - ALLAHABAD,,
DR. MANVEENKAUR - COIMBATORE,,
DR. MANOJ KANSARA - SURAT,,
DR. MANOJ JAIN - DELHI,,
DR. MANO BALAN - PONDICHERRY,,
DR. MANJU KESHARI - NOIDA,,
DR. MANJIRI OKE - NAGPUR,,
DR. MANJIRI DESHMUKH - AURANGABAD,,
DR. MANISHA PATIL - PUNE,,
DR. MANISHA PATIL  - PUNE,,
DR. MANISHA NIJHAWAN - JAIPUR,,
DR. MANGALA H C - DAVANGERE,,
DR. MANAS S N - MYSORE,,
DR. MAMTA PARIKH - JODHPUR,,
DR. MAMTA BHURA - KANPUR,,
DR. MAMATHAS KUSAGUR - DAVANGERE,,
DR. MAHIMA JAIN - MUMBAI,,
DR. MAHENDRA VAGHASIYA - SURAT,,
DR. MAHENDRA SONUNE - AURANGABAD,,
DR. MADHUSUDHANAN ( VINAYAKA HOSPITAL) - SULTHANBATHERY,,
DR. MADHURI ANANTWAR - NAGPUR,,
DR. MADHAVI LATHA  - HYDERABAD,,
DR. MADHAVA REDDY - HYDERABAD,,
DR. MADDALA RAGHURAM - HYDERABAD,,
DR. MADAVA MURTHY - DAVANGERE,,
DR. M.VIJAY REDDY - HYDERABAD,,
DR. M.SRIHARI PRASANNA KUMAR REDDY - HYDERABAD,,
DR. M.S.PATHAK - RANAGHAT,,
DR. M.S. ABIRAMI - COIMBATORE,,
DR. M.O.SHAH - VADODARA,,
DR. M.JYOTHSNA - VIJAYAWADA,,
DR. M.JAYAPRAKASH  - IDUKKI,,
DR. M.JAYA PRABA - RAJAPALAYAM,,
DR. M.ANANTHI - CUDDALORE,,
DR. M. R. SWAROOP - BANGALORE,,
DR. M. M. BHATT - KANHANGAD,,
DR. M. HARINI REDDY - CHENNAI,,
DR. M. BARATHI YOGANANDHAN - TIRUCHENCODE,,
DR. M YOGENDRA - CHITRADURGA,,
DR. M SHRADDHA - CHENNAI,,
DR. M SATHYA PRIYA - ERODE,,
DR. M S PATHAK - BARASAT,,
DR. M MANJUNATH - SHIMOGA,,
DR. M MAHESH - BANGALORE,,
DR. M L AGNIHOTRI - GULBARGA,,
DR. M KRISHNA SRI - GUDIVADA,,
DR. SATISH CHANDRA - GORAKHPUR,,
DR. SATHYA SUDHAN - PUDUKKOTTAI,,
DR. SASI KIRAN - VISAKHAPATNAM,,
DR. SANTPAL SANGWAN  - REWARI,,
DR. SANTOSH PANCHAL  - SOLAPUR,,
DR. SANJEEV P. DIXIT - DELHI,,
DR. SANJAY PANCHOLI - INDORE,,
DR. SANJAY G R - BANGALORE,,
DR. SANJAY AGRAWAL - AMRAVATI,,
DR. SANGEETA MORE - AURANGABAD,,
DR. SANDIPAN SABDE - SOLAPUR,,
DR. SANDEEP SAWANT - MUMBAI,,
DR. SANDEEP KULKARNI  - SOLAPUR,,
DR. SANDEEP KULKARNI   - SOLAPUR,,
DR. SANDEEP GUPTA - DELHI,,
DR. SAHID HASSAN - PATNA,,
DR. SAHEBGOWDA SHETTY - BANGALORE,,
DR. SADHANA JADHAVAR - PUNE,,
DR. SACHIN LUTHRA - JABALPUR,,
DR. SACHIN KORE - CHANDRAPUR,,
DR. SACHIN KASHID - PUNE,,
DR. S.M.AUGUSTINE - CHENNAI,,
DR. S.KRITHIKA - ERODE,,
DR. S. K. YADAV - PANIPAT,,
DR. S. ISHA   - KOTTAYM,,
DR. S. GUNASEKARAN - DINDIGUL,,
DR. S VARSHNEY - MEERUT,,
DR. S RAVI - MYSORE,,
DR. S KUMAR  - FARIDABAD,,
DR. S KIRUTHIKA - KARUR,,
DR. S KIRAN - HYDERABAD,,
DR. S G RATHORIYA - BHOPAL,,
DR. S .K. GOEL - ROHTAK,,
DR. RUPALI PAVASKAR - MUMBAI,,
DR. RUBINA ANSARI - DEHRADUN,,
DR. ROHIT GOEL - CENTRAL DELHI,,
DR. ROHINI MULE - AURANGABAD,,
DR. RITHIMA YADAV - PUNE,,
DR. RITHIMA YADAV  - PUNE,,
DR. RISHABH CHAUHAN - RISHIKESH,,
DR. RIDHIMA - HYDERABAD,,
DR. RICKSON PEREIRA - MUMBAI,,
DR. RETISHA KENKAR - PANAJI,,
DR. RESHMA BHIVGADE - MUMBAI,,
DR. RENU TATE - MUMBAI,,
DR. RENU NAIR - BANGALORE,,
DR. RAVI VADREVU - VIJAYAWADA,,
DR. RAVI SHANKAR REDDY - HYDERABAD,,
DR. RAVI M RATHOD - HUBLI,,
DR. RAVI HIREMAGALORE - BANGALORE,,
DR. RATHY - CHENNAI,,
DR. RATHISH  - KOLLAM,,
DR. RASHMI SRIRAM - BANGALORE,,
DR. RASHI - PATNA,,
DR. RANJAN UPADHYA - CENTRAL DELHI,,
DR. RANJAN JEEVANNAVAR - HUBLI,,
DR. RAMAKANT BEMBDE - AURANGABAD,,
DR. RAM TAINWALA - MUMBAI,,
DR. RAJKAMAL - HYDERABAD,,
DR. RAJETHA DAMISETTY - HYDERABAD,,
DR. RAJESHWARI BHAT - BANGALORE,,
DR. RAJESH YADAV  - REWARI,,
DR. RAJESH VIRMANI - SAHARANPUR,,
DR. RAJESH V MURGOD - BAGALKOT,,
DR. RAJESH RAJAGOPALAN - ERODE,,
DR. RAJESH NAIR  - TRIVANDRUM,,
DR. RAJESH KEDIA - NAGPUR,,
DR. RAJESH KATARIA - INDORE,,
DR. RAJENDRA SHINDE  - PUNE,,
DR. RAJEEV SAXENA - JABALPUR,,
DR. RAJEEV JAIN - DELHI,,
DR. RAJASHEKHAR M L - BANGALORE,,
DR. RAJASHEKAR KULKARNI - BIDAR,,
DR. RAHUL BODE  - AURANGABAD ,,
DR. RAGAVENDRA TOPKHANE - HUBLI,,
DR. RADHA CHOUGHULE - MUMBAI,,
DR. R.V.SATYANATH - HYDERABAD,,
DR. R.SINDHUJA - CHENNAI,,
DR. R.LAKSHMI SURESH - VELLORE,,
DR. R.K.JOSHI  - DELHI,,
DR. R.K. GUPTA - AMRITSAR,,
DR. R.G. SINGH - GORAKHPUR,,
DR. R. P. SAHU - RANCHI,,
DR. R. D. JOSHI - AHMEDABAD,,
DR. R S DRIWEDI - RANCHI,,
DR. R P MAAN  - KAITHAL,,
DR. R L SHAH - LUCKNOW,,
DR. PVS.PRASAD - CHIDAMBARAM,,
DR. PUNIT SARAOGI - MUMBAI,,
DR. PUNEET SHARMA - INDORE,,
DR. PUNAM KAPLASH - LUDHIANA,,
DR. PRIYANKA TALARI - HYDERABAD,,
DR. PRIYA J TALAGERI - BANGALORE,,
DR. PRITI ARYA - GURGAON,,
DR. PREETI AGRAWAL - AGRA,,
DR. PREETHI NAGRAJ - ERNAKULAM,,
DR. PRATIK SHETH - RAJKOT,,
DR. PRATEEK MANJUL - JAIPUR,,
DR. PRASOON SONI - BIKANER,,
DR. PRASHNTI SHANBAG - MUMBAI,,
DR. PRASANNA - MYSORE,,
DR. PRANEETH KUMAR REDDY - HYDERABAD,,
DR. PRANAYA BAGDE  - TRIVANDRUM,,
DR. PRAMOD BHANDARY - MUMBAI,,
DR. PRAMOD BHANDARY  - MUMBAI,,
DR. PRAMOD AGARWAL - LUCKNOW,,
DR. PRAKASH KHUSIRAMANI - GWALIOR,,
DR. PRAJCT SAO - MUMBAI,,
DR. PRADIP PATEL - AHMEDABAD,,
DR. PRADEEP  VISHWAKARMA - MUMBAI,,
DR. PRABHAKAR RAO - HYDERABAD,,
DR. PRABASH KULHARI - SIRSA,,
DR. POORVA SHAH  - PUNE,,
DR. POONAM NEGI - KOLKATA,,
DR. POOJA TILWANI - PUNE,,
DR. POOJA TILWANI  - PUNE,,
DR. POOJA CHOPRA - MUMBAI,,
DR. PIYUSH GUPTA - BHARATPUR,,
DR. PIYUSH BORKHATIYA - RAJKOT,,
DR. PINAKIN PATEL - MUMBAI,,
DR. PAWAN KUMAR - BANGALORE,,
DR. PARMIL KUMAR SHARMA - DELHI,,
DR. PANKAJ CHATURVEDI - DELHI,,
DR. PALLAVI CHAWLA - FARIDABAD,,
DR. VIKRANT SAOJI - NAGPUR,,
DR. VIJAYKUMAR - BANGALORE,,
DR. VIJAYA PATIL - MUMBAI,,
DR. VIJAY MANEKAR - NASIK,,
DR. VIJAY KUMAR PHADE  - LATUR,,
DR. VIJAY KANANI - RAJKOT,,
DR. VIJAY GUPTA - BAREILLY,,
DR. VENKATESHULU - BANGALORE,,
DR. VENKATARAM - BANGALORE,,
DR. VENKATA CHALAM - VISKHAPATNAM,,
DR. VARSHA TANDON - JABALPUR,,
DR. VARSHA JAIN - AHMEDABAD,,
DR. VARDHAMAN  - SOLAPUR,,
DR. VARDHAMAN   - LATUR,,
DR. VANI VASANTH - BANGALORE,,
DR. VALARMATHI - POLLACHI,,
DR. VAISHALI VEBIN  - PUNE,,
DR. V.S.CHINNASAMY - ERODE,,
DR. V.MADHAVI LATHA - HYDERABAD,,
DR. V.K. SOMANI - HYDERABAD,,
DR. V V NARSIMHA RAO - HYDERABAD,,
DR. V RENUKA - CHENNAI,,
DR. UMESH AGARWAL - BARODA,,
DR. UJJWALA VERMA  - BALLABGARH,,
DR. UJJAWAL SINGH - INDORE,,
DR. UDGIRKAR - SOLAPUR,,
DR. UDGIRKAR  - LATUR,,
DR. TUKARAM SORI - GADAG,,
DR. TIRUMALA NAIDU - KAKINADA,,
DR. THULIKA ROHAN  - PALAKKAD,,
DR. TARUN NARANG ( SHIV AMRIT BABY CHEMIST  PGI) - CHANDIGARH,,
DR. TARANDEEP KAUR - FARIDABAD,,
DR. TALAT SALIM - CHENNAI,,
DR. TAKALKAR  - AURANGABAD,,
DR. TAKALKAR   - AURANGABAD,,
DR. T.SRIHARSHA - HYDERABAD,,
DR. T. BANUPRIYA - CHENNAI,,
DR. T VIRUPAKSHAPPA - RAICHUR,,
DR. T ANNAPURNA - HYDERABAD,,
DR. SWAROOP - GULBARGA,,
DR. SWAPNIL SANGHVI - MUMBAI,,
DR. SUSY ELIAS SAMSON - COCHIN,,
DR. SUSHIL CHHABRA - PALWAL,,
DR. SURUCHI PURI - DELHI,,
DR. SURJEET MEHTA - DELHI,,
"DR. SURESH M R - HASSAN	",,
DR. SUNIL PATIL - BARSHI,,
DR. SUNIL MISHRA - MUMBAI,,
DR. SUNIL KOTHIWALA - JAIPUR,,
DR. SUNIL JINDAL  - HISSAR,,
DR. SUNIL BHOSLE - SOLAPUR,,
DR. SUNIL AGRAWAL - JAIPUR,,
DR. SUNEET DUBEY - JABALPUR,,
DR. SUMIT SHARMA  - PANIPAT,,
DR. SUJALA S ARADHYA - BANGALORE,,
DR. SUJA SATHYAN - KOLLAM,,
DR. SUGGA REDDY - DAVANGERE,,
DR. SUGANDHAN - CHENNAI,,
DR. SUDHIR MAMIDWAR - NAGPUR,,
DR. SUDHINDRA U - BANGALORE,,
DR. SUDHANSHU MEHTA - RATNAGIRI,,
DR. SUDHANSHU KUMAR - PATNA,,
DR. SUDHAKAR MAHURKAR - GULBARGA,,
DR. SUCHITA TANAVDE - MUMBAI,,
DR. SUCHITA TANAVDE  - MUMBAI,,
DR. SUCHETHRA S SWAMY - BANGALORE,,
DR. SUBRANGSU PATTNAIK - CUTTACK,,
DR. SUBIR CHOWDHARY (DHANBAD) - KOLKATA,,
DR. SUBASH CHANDRAPRIYADHARSHINI - CHIDAMBARAM,,
DR. SS. RAJENDRAN - MADURAI,,
DR. SRINIVASA MURTHY - BANGALORE,,
DR. SRIKANT SATU - WARANGAL,,
DR. SRIDEVI LAKHE   - PUNE,,
DR. SOURAV KISALEY JHA - BANAGALORE,,
DR. SOUJANYA DHULIPALA - HYDERABAD,,
DR. SONIA FEROZ - TRIVANDRUM,,
DR. SONI NANDA - DELHI,,
DR. SONAM RAMRAKHIANI - MUMBAI,,
DR. SONALI ATKARE - CHANDRAPUR ,,
DR. SONAL AHUJA - MUMBAI,,
DR. SOMNATH PATIL - GULBARGA,,
DR. SOHANA PATEL - AHMEDABAD,,
DR. SNEKAVALLI - CHENNAI,,
DR. SNEHAL POTDUKHE - NAGPUR,,
DR. SITARA G.L  - HYDERABAD,,
DR. SITARA - HYDERABAD,,
DR. SINDHURI - BANGALORE,,
DR. SINDHURA MANDAVA - CHENNAI,,
DR. SINDHU ANIL  - MALAPPURAM,,
DR. SIMRAN MEHTA - DEHRADUN,,
DR. SIKANDAR RATHOD - AHMEDABAD,,
DR. SIDDHI CHHIKHALKAR - MUMBAI,,
DR. SIDDHARTH OSHWAL - JABALPUR,,
DR. SHWETA NAKHAWA - MUMBAI,,
DR. SHUBHA M KESARI - BANGALORE,,
DR. SHOBANA MADHAVAN  - POLLCHI,,
DR. SHOBA DHARMARAJAN - CHENNAI,,
DR. SHIVASWAMY - SIRSI,,
DR. SHIVAKUMAR PATIL - BELGAUM,,
DR. SHIREESHA - GULBARGA,,
DR. SHIRAZ NAHA - CALICUT,,
DR. SHILPA MRINAL - KASARGOD,,
DR. SHIKHA AGGARWAL - LUDHIANA,,
DR. SHEIKH NAVEED - BARAMULLA,,
DR. SHEFALI SINGHAL - MATHURA,,
DR. SHEETAL DHUMAL - AURANGABAD,,
DR. SHEELA NATARAJ - BANGALORE,,
DR. SHASHIDHAR T - BANGALOR,,
DR. SHARVARI PANDIT - PUNE,,
DR. SHARMILA PATIL - MUMBAI,,
DR. SHANTOSH SHINDE - BELAGAVI,,
DR. SHANTHA SREE - BANGALORE,,
DR. SHANTANU CHOUDHARY - JAIPUR,,
DR. SHALINI SHARMA - RUDRAPUR,,
DR. SHAILENDRA PANDEY - KANPUR,,
DR. SENTHIL SIVAPRAKASAM - ERODE,,
DR. SENTHIL KUMAR - ERODE,,
DR. SEEMA SRINIVAS - BANGALORE,,
DR. SEEMA LAL - GURGAON,,
DR. SAURABH JAIN - JAIPUR,,
DR. SAURABH GARG - PATNA,,
DR. SATYANANDA - BANGALORE,,
DR. SATISH UDARE - MUMBAI,,
DR.GAURAV MURTI - LUCKNOW,,
DR.GANESH DHAVLSHANK - GOA,,
DR.GANESH AITWADE - SOLAPUR ,,
DR.G.SHAH - MUMBAI,,
DR.G.SENTHIL KUMAR - ERODE,,
DR.G.DHANRAJ - NAGPUR,,
DR.FATIMA UMMUL HASNAATH - HYDERABAD,,
DR.E.K.JALEENA - PERINTHALMANNA,,
DR.DULANGE - SOLAPUR,,
DR.DOIPHODE  - JALNA,,
DR.DIPANAJALI SINGH - LUCKNOW,,
DR.DIPAK PATEL - SURAT,,
DR.DIPAK JAGTAP  - LATUR,,
DR.DINESH BHUTADE - PARBHANI,,
DR.DINESH BHUTADA  - KOLHAPUR,,
DR.DHULANGE  - SOLAPUR,,
DR.DEVESH SINGH - LUCKNOW,,
DR.DEVASENA - CHENNAI,,
DR.DEVANG SONI - MUMBAI,,
DR.DEEPTI DHINGRA - LUCKNOW,,
DR.DEEPANJALI SINGH - LUCKNOW,,
DR.DEEPAK DAGDE  - LATUR,,
DR.DEEPAK DADGE - SOLAPUR,,
DR.DEBAYAN DAS - KOLKATA,,
DR.D.SRINIVASAN - ERODE,,
DR.D.JYOTHSNA - CHENNAI,,
DR.D.DINESH KUMAR - CHENNAI,,
DR.CHIRAG L PAWARA - SURRENDRANAGAR,,
DR.CHINMAY HALDER  - KOLKATA,,
DR.CHINAMOY KAR  - RAIGANJ,,
DR.CHETNA  - DELHI,,
DR.CHETANA - CHENNAI,,
DR.CHAYA PAWAR - NASIK,,
DR.CHARITHA REDDY -  KARIM NAGAR,,
DR.CHARDE  - NAGPUR,,
DR.CHARANYA - CHENNAI,,
DR.CH CHANDRASHEKHAR - HYDERABAD,,
DR.C.V JOSHI - MUMBAI,,
DR.C.V JOSHI  - MUMBAI,,
DR.BRAMARAMBA.S.A.V - HYDERABAD,,
DR.BLUE BELL  - PUNE,,
DR.BINCY VARGHESE  - GURGAON,,
DR.BHUMIKA THARWANI - MUMBAI,,
DR.BHITE  - SANGAMNER,,
DR.BHAVINI LODHAYA  - MUMBAI,,
DR.BHAVESH GUPTA - MUMBAI,,
DR.BHAVESH GUPTA  - SANPADA,,
DR.BHAVESH DEWANI - RAJKOT,,
DR.BHAGYASHREY JAJU - MUMBAI,,
DR.BATUL PATEL - MUMBAI,,
DR.BATUL PATEL  - MUMBAI,,
DR.B.N.SARAVANAN - CHENNAI,,
DR.B.HEMADHARSHINI - CHENNAI,,
DR.AVANTI TRIVEDI - MUMBAI,,
DR.ASRA KHUMUSHI - NAGPUR,,
DR.ASMA PRAVEEN - LUCKNOW,,
DR.ASHWINI SALUNKHE - PUNE,,
DR.ASHWINI SALUNKHE  - PUNE,,
DR.ASHWINI MODI - GOREGAON,,
DR.ASHOK SHAH  - KOLHAPUR,,
DR.ASHOK LOHALEKAR - AURANGABAD,,
DR.ASHOK LOHALEKAR  - AURANGABAD,,
DR.ASHOK JANAPURKAR  - AURANGABAD,,
DR.ASHISH DAVALBHAKTA - PUNE,,
DR.ASHA DOSHI - MUMBAI,,
DR.ASARA KHUMOSI - NAGPUR,,
DR.ASARA KHUMOSI  - NAGPUR,,
DR.ARUNKUMAR - VELLORE,,
DR.ARUN WADHWA - DELHI,,
DR.ARCHNA VISHVEKAR - SOLAPUR,,
DR.ARCHANA M.GOYAL - JAIPUR,,
DR.ARCHANA - SOLAPUR,,
DR.ANUP GUPTA  - KOLKATA,,
DR.ANSUL JAIN - JHANSI,,
DR.ANSHU AGARWAL  - SIKAR,,
DR.ANKIT AGRAWAL - NAGPUR,,
DR.ANJALI MAHESHWARI  - NASHIK,,
DR.ANJALI DADLAL - MUMBAI,,
DR.ANITA SINGH - MUMBAI,,
DR.ANIRUDHA D. GULANIKAR - AURNGABAD,,
DR.ANIMESH SAXENA - BHOPAL,,
DR.ANIL PATKI - PUNE,,
DR.ANBUMALAR - VELLORE,,
DR.AMIT LAD  - SOLAPUR,,
DR.AMEY KELKAR - PUNE,,
DR.ALI MOHAMMAD - LUCKNOW,,
DR.AKSHATA BALINGA  - PANAJI,,
DR.AKANKSHA SINGH - DELHI,,
DR.AJIT SINGH SETHI - AURANGABAD,,
DR.AJAYAKUMAR. S - KANNUR,,
DR.AJAY PANDEY - RAIPUR,,
DR.AJAY OVHAL  - SOLAPUR,,
DR.AJAY NIMBHALKAR - MUMBAI,,
DR.AJAY KUMAR SAMANTA  - KOLKATA,,
DR.AITWADE  - SOLAPUR,,
DR.AISHWARY GUPTA - JAIPUR,,
DR.ADITI TITHE  - SOLAPUR,,
DR.ADITI DESHPANDE - MUMBAI,,
DR.ABHIRAJ SINGH THAKUR - MEERUT,,
DR.ABHIJIT SHINDE - NASIK,,
DR.ABHIJEET SHINDE - DHULE,,
DR.ABHAY TALATHI - MUMBAI,,
DR.AARSHI RAHUL  - PUNE,,
DR.AADITYA MAHESHWARI - MUMBAI,,
DR.A.HEMA ANANDHI - CHENNAI,,
DR.A SURJUSE - NAGPUR,,
DR. ZISSAN - PATNA,,
DR. ZI USMANI - MAU NATH BHAJAN,,
DR. ZEENAT BALWANI - MUMBAI,,
DR. ZAWAR  - NAGPUR,,
DR. YUVRAJ MORE - PUNE,,
DR. YOGESH RATHORE - BHOPAL,,
DR. YOGESH BHINGRADIYA - SURAT,,
DR. Y B SOMASHEKHAR - BANGALORE,,
DR. VIVEK NAIR - GURGAON,,
DR. VISHAL VAIDYA - DELHI,,
DR. VISHAL DESARDE - NASIK,,
DR. VISHAL DESARDA - NASIK,,
DR. VISHAL AMIN - MANGALORE,,
DR. VISHAL AGRAWAL - INDORE,,
DR. VIRENDRA GEHLOT - JODHPUR,,
DR. VINOD SINGH - VARANASI,,
DR. VINAYAK REVANKER  - SOLAPUR,,
DR. VINAY KUMAR SHARMA - HYDERABAD,,
